STATE,Male_Ratio_1820,Female_Ratio_1820,Male_Ratio_1830,Female_Ratio_1830,Male_Ratio_1840,Female_Ratio_1840,Male_Ratio_1850,Female_Ratio_1850,Male_Ratio_1860,Female_Ratio_1860,Male_Ratio_1870,Female_Ratio_1870,Male_Ratio_1880,Female_Ratio_1880,Male_Ratio_1890,Female_Ratio_1890,Male_Ratio_1900,Female_Ratio_1900,Male_Ratio_1910,Female_Ratio_1910,Male_Ratio_1920,Female_Ratio_1920,Male_Ratio_1930,Female_Ratio_1930,Male_Ratio_1940,Female_Ratio_1940,Male_Ratio_1950,Female_Ratio_1950,Male_Ratio_1960,Female_Ratio_1960,Male_Ratio_1970,Female_Ratio_1970,Male_Ratio_1980,Female_Ratio_1980,Male_Ratio_1990,Female_Ratio_1990,Male_Ratio_2000,Female_Ratio_2000,Male_Ratio_2010,Female_Ratio_2010
Georgia,0.513720544892004,0.486279455107996,0.5095864541632241,0.4904135458367758,0.5080229450152736,0.4919770549847265,0.5037216462422133,0.4962783537577868,0.5031230906301606,0.49687690936983936,0.4889372515536999,0.5110627484463002,0.49474185892697353,0.5052581410730265,0.5006795101431244,0.4993204898568756,0.4977600367454139,0.5022399632545861,0.5001757296806089,0.4998242703193911,0.49893191317728375,0.5010680868227162,0.4932178238587096,0.5067821761412904,0.49132333436735587,0.5086766656326441,0.49023915266253226,0.5097608473374677,0.4884241295462776,0.5115758704537224,0.4860354172227276,0.5139645827772724,0.4833231285139129,0.5166768714860871,0.4853964424773734,0.5146035575226267,0.4919240359652709,0.5080759640347291,0.4881647804684994,0.5118352195315006
Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5344310430929308,0.46556895690706923,0.5194187579125145,0.4805812420874856,0.5127890692460073,0.48721093075399274,0.5088217326924309,0.4911782673075691,0.5023957171757858,0.4976042828242142,0.500803131071726,0.499196868928274
Idaho,,,,,,,,,,,,,,,0.6078094448065414,0.3921905551934586,0.5771517938827485,0.42284820611725144,0.5698692236343421,0.43013077636565783,0.5416471775967545,0.45835282240324543,0.5333256934332812,0.4666743065667188,0.5269446132683525,0.4730553867316475,0.5151511033115486,0.48484889668845144,0.5072325615903093,0.4927674384096908,0.4992512984743891,0.5007487015256109,0.49913924157913414,0.5008607584208659,0.4975977130347286,0.5024022869652713,0.5013010518929204,0.4986989481070796,0.5009779392720763,0.49902206072792366
Illinois,0.5472245386316668,0.4527754613683333,0.5285591793959795,0.4714408206040204,0.5402943826218072,0.4597056173781928,0.5265258905187499,0.47347410948125007,0.5273287611619725,0.4726712388380275,0.5183438974349687,0.48165610256503133,0.515461174298728,0.4845388257012721,0.5154540187243669,0.4845459812756331,0.5128603872198775,0.4871396127801226,0.5163832595767276,0.4836167404232724,0.5095898712160462,0.4904101287839538,0.5076179577792415,0.49238204222075854,0.5010799341187637,0.4989200658812362,0.4957717796334693,0.5042282203665307,0.49129931303526836,0.5087006869647316,0.4851401514633467,0.5148598485366533,0.48462156187913064,0.5153784381208694,0.48573408469650153,0.5142659153034984,0.4895879338703097,0.5104120661296904,0.4904104489942506,0.5095895510057493
Indiana,0.525900610145538,0.47409938985446193,0.5181514207170781,0.48184857928292196,0.5197881218780345,0.48021187812196553,0.517892263986014,0.482107736013986,0.5178062066248627,0.48219379337513735,0.5105171432022501,0.4894828567977499,0.5107215737140102,0.48927842628598983,0.5101007843444912,0.48989921565550876,0.5107980966928967,0.4892019033071034,0.5121653122912714,0.48783468770872856,0.508148744706336,0.49185125529366397,0.5064256540753552,0.49357434592464483,0.5032974541075373,0.49670254589246265,0.49781507102798417,0.5021849289720158,0.49302712837624807,0.5069728716237519,0.4873568184649426,0.5126431815350574,0.4855585127309924,0.5144414872690076,0.4848852639327263,0.5151147360672736,0.49049935983724985,0.5095006401627502,0.4919547203939911,0.508045279606009
Iowa,,,,,,,0.5257265339673489,0.4742734660326511,0.525242512738679,0.4747574872613211,0.5242098122309509,0.4757901877690491,0.522053532683128,0.477946467316872,0.5201396937908757,0.47986030620912434,0.5183356609955942,0.48166433900440575,0.5160850262791091,0.4839149737208908,0.5113898755460123,0.4886101244539877,0.5079449553388409,0.4920550446611592,0.5044754927375675,0.49552450726243247,0.4999032838841192,0.5000967161158808,0.49284814673384253,0.5071518532661574,0.4860779867836294,0.5139220132163707,0.48609585806614575,0.5139041419338543,0.4843070418528102,0.5156929581471899,0.49055231068056715,0.5094476893194329,0.4951225316813044,0.5048774683186956
Kansas,,,,,,,,,,,0.5549521266523783,0.4450478733476217,0.5387703594834233,0.4612296405165767,0.5270227090539109,0.47297729094608915,0.5227600229854573,0.47723997701454274,0.523914086113774,0.476085913886226,0.5138999026144874,0.4861000973855127,0.5110534349034742,0.48894656509652584,0.5032348192254645,0.4967651807745354,0.5004642315982951,0.49953576840170494,0.4963607546276045,0.5036392453723956,0.4903337431417916,0.5096662568582083,0.48946620924414863,0.5105337907558514,0.49025579054349133,0.5097442094565087,0.49414711551551876,0.5058528844844812,0.49609164429932445,0.5039083557006755
Kentucky,0.5124713056271991,0.48752869437280083,0.5118117447308324,0.48818825526916765,0.5130464666567499,0.48695353334325003,0.5117339590087591,0.4882660409912409,0.5125285112539414,0.4874714887460586,0.5039132906539007,0.49608670934609933,0.5050009401403539,0.49499905985964615,0.5072313821702485,0.4927686178297514,0.507749721261528,0.49225027873847205,0.5073175524748843,0.4926824475251157,0.5079362583432301,0.49206374165676997,0.5059277003001237,0.49407229969987637,0.5045678860932933,0.49543211390670666,0.5008774771580878,0.49912252284191216,0.49650116715534026,0.5034988328446597,0.49058099745674194,0.5094190025432581,0.48870472033669354,0.5112952796633065,0.484421061428987,0.515578938571013,0.48873847070428816,0.5112615292957119,0.49199618285339775,0.5080038171466023
Louisiana,0.5388790437017322,0.46112095629826777,0.5329027648251511,0.46709723517484886,0.5329061805675759,0.46709381943242406,0.5303517832517644,0.4696482167482357,0.5225889192403411,0.4774110807596589,0.4982219379157123,0.5017780620842877,0.49870311698757164,0.5012968830124284,0.5000505101525407,0.49994948984745935,0.5028376006514068,0.49716239934859313,0.5042749645614434,0.49572503543855667,0.5022688237868145,0.49773117621318547,0.4985851209059033,0.5014148790940968,0.4959566475455607,0.5040433524544393,0.4915811942242938,0.5084188057757062,0.4888680518584155,0.5111319481415846,0.48649687776858086,0.5135031222314191,0.4850077272403053,0.5149922727596947,0.48137416992952325,0.5186258300704768,0.48398178911679096,0.5160182108832091,0.48954553034694703,0.510454469653053
Maine,0.5016679574478072,0.4983320425521928,0.5039341102251819,0.4960658897748182,0.5056049008256392,0.49439509917436075,0.5100939864773333,0.48990601352266666,0.5048537353627927,0.49514626463720735,0.4994345325921377,0.5005654674078623,0.49936819655559256,0.5006318034444075,0.5030964201329328,0.49690357986706724,0.5054171118528481,0.4945828881471519,0.5079023830402858,0.4920976169597142,0.5061782727919022,0.49382172720809775,0.5032272708462133,0.4967727291537866,0.5026061523135503,0.4973938476864497,0.49699925802222433,0.5030007419777757,0.49424460802773235,0.5057553919722676,0.48673552086189376,0.5132644791381062,0.4856890082335995,0.5143109917664005,0.48687708074089037,0.5131229192591097,0.4865462463223269,0.5134537536776731,0.4893669717795087,0.5106330282204913
