STATE,W_Ratio_1970,AA_Ratio_1970,AI_Ratio_1970,APAC_Ratio_1970,Total_Population_1970,W_Ratio_1980,AA_Ratio_1980,AI_Ratio_1980,APAC_Ratio_1980,Total_Population_1980,W_Ratio_1990,AA_Ratio_1990,AI_Ratio_1990,APAC_Ratio_1990,Total_Population_1990,W_Ratio_2000,AA_Ratio_2000,AI_Ratio_2000,APAC_Ratio_2000,Total_Population_2000,W_Ratio_2010,AA_Ratio_2010,AI_Ratio_2010,APAC_Ratio_2010,Total_Population_2010
Georgia,0.7389010965067572,0.2586620765539293,0.0005113763256946449,0.001925450613618908,4589575,0.7246800337461327,0.26869844366329754,0.0018493218297038626,0.004772200760865935,5450106,0.7100948779725776,0.26960586062582664,0.00206044380119465,0.018238817600401098,6478216,0.6599487256674552,0.2910635366901359,0.002692800595619693,0.04629493704678922,8072265,0.6104788904495745,0.31122193666691844,0.003391397026464943,0.07490777585704214,9480164
Hawaii,0.38794578439447225,0.009853479424534942,0.001465075641360933,0.6007356605396319,768561,0.35189616293505305,0.018751186062611384,0.0031550590672432565,0.6261975919350923,943247,0.3335195162732612,0.024539152106649437,0.004601034623710442,0.637340296996379,1108229,0.3088677307355434,0.02310768603876941,0.0037124787595805057,0.6643121044661067,952194,0.3237549919590025,0.020606498972752945,0.004005109303703475,0.6516333997645412,1039672
Idaho,0.9806825182754745,0.0029891925952226246,0.00938438069683272,0.00694390843247021,712567,0.9784036796536797,0.0029339826839826838,0.011388528138528139,0.0072738095238095235,924000,0.9440794080749025,0.0033474083411058763,0.013687622237518984,0.038885561346472655,1006749,0.9282213658124294,0.004301672101574967,0.013911840951666109,0.053565121134329485,1268344,0.9135444612130859,0.006417439735923336,0.014026128988576173,0.06601197006241467,1528647
Illinois,0.8638115648261252,0.12827758490750746,0.0010269052227573643,0.006883945043609956,11113976,0.8323774986642146,0.1503935862899421,0.0017614673889173953,0.015467447656925934,11133899,0.7832464116938023,0.1482225520580631,0.0019103105855667094,0.06662072566256791,11430602,0.7489546568910079,0.15404073627019477,0.002544755015008277,0.09445985182378897,12184277,0.7318501832042199,0.14882912767679507,0.003505639659826245,0.11581504945915881,12540650
Indiana,0.9281153650723603,0.06882687364173573,0.0007484111906245854,0.0023093500952794644,5193669,0.9178108723791318,0.07595057089958647,0.001775769640660892,0.0044627870806207845,5457352,0.9055836962828808,0.07793643724864312,0.0022943064944565984,0.014185559974019504,5544159,0.8859596460372704,0.08493753260925861,0.002633720650418256,0.026469100703052702,6004813,0.8602881007743828,0.09304691813167008,0.0029047022601516293,0.04376027883379555,6355901
Iowa,0.9852661260398757,0.011540956303268403,0.0010593490385132857,0.0021335686183426004,2824376,0.978504640390007,0.014542609314942816,0.002184077585378596,0.004768672709671621,2903743,0.9662681799438553,0.017318776773608043,0.002646614483452807,0.013766428799083822,2776755,0.9495927858807565,0.021368808787284775,0.003105495645949313,0.025932909686009482,2894546,0.9293486649947779,0.02978528056258858,0.003703280497102928,0.037162773945530636,2993022
Kansas,0.9445779314139104,0.047617754647290234,0.003860092994768043,0.003944220944031322,2246578,0.9305909641961644,0.0541858337896849,0.007701870705488783,0.0075213313086619025,2331901,0.9008756146133274,0.05774842648494051,0.008865527326328093,0.032510431575404,2477574,0.8791841095594778,0.05858760252013547,0.009474444911361355,0.052753843009025345,2631922,0.8640708879240094,0.06066236988130537,0.010172792928553746,0.06509394926613146,2767185
Kentucky,0.9263865665270453,0.07170365979371834,0.0004756569876217337,0.0014341166916145805,3218706,0.9245855202820374,0.07092210026944977,0.0012584898832566688,0.0032338895652561607,3655969,0.9203689472975848,0.07133945278751015,0.0015654102139963791,0.006726189700908693,3685296,0.910375648296738,0.07401097084858799,0.0021543630101672133,0.0134590178445068,3999326,0.8933853076304143,0.07915277080427817,0.002373269852273332,0.025088651713034153,4264159
Louisiana,0.6979633131629146,0.2984731302450275,0.0014538739671974836,0.002109682624860421,3641306,0.6954731302767736,0.2954485109988771,0.0030850436216866258,0.0059933151026626275,4191837,0.6727858211415096,0.3078884627934823,0.004393630006637483,0.014932086058370516,4219973,0.6460863422196113,0.32844128467117617,0.005763100098604048,0.019709273010608475,4420711,0.6358477736409618,0.3256136266673901,0.006855526378385868,0.03168307331326229,4460489
Maine,0.993173717400771,0.0028224440752866796,0.002212594551876522,0.0017912439720658678,992048,0.9903728078761626,0.0030085531537752406,0.0038841569110407937,0.0027344820590213884,1123796,0.984064212233942,0.00418428442058492,0.004884651217335219,0.0068668521281378065,1227928,0.9791947244501202,0.005355405632365663,0.005623175913983946,0.009826694003530131,1262276,0.9675322390662526,0.012013736978170748,0.006553364641813648,0.013900659313762984,1307420
